Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
456,Cody Williams,20,UTA,SG,29,12,20.4,1.3,4.3,.302,0.6,2.3,.239,0.8,2.0,.373,.365,0.7,1.0,.714,0.5,1.5,2.0,1.3,0.6,0.3,0.9,1.9,3.9,,2025
457,Jeenathan Williams,25,HOU,SG,7,0,5.6,1.7,2.6,.667,0.4,1.0,.429,1.3,1.6,.818,.750,0.0,0.0,,0.1,0.6,0.7,0.6,0.4,0.4,0.6,0.4,3.9,,2025
458,Pelle Larsson,23,MIA,SG,36,1,12.6,1.3,2.9,.453,0.5,1.5,.340,0.8,1.5,.566,.538,0.6,0.9,.667,0.4,1.1,1.5,0.9,0.4,0.1,0.4,1.7,3.8,,2025
459,Micah Potter,26,UTA,C,25,9,16.9,1.3,3.0,.427,0.9,2.4,.373,0.4,0.6,.625,.573,0.4,0.4,.900,1.0,2.9,3.9,0.7,0.2,0.4,0.7,1.3,3.8,,2025
460,Jae'Sean Tate,29,HOU,SF,36,2,11.9,1.4,3.1,.464,0.3,0.8,.300,1.2,2.2,.525,.505,0.8,1.1,.659,0.9,1.3,2.2,0.9,0.6,0.1,0.4,1.8,3.8,,2025
461,Patty Mills,36,2TM,PG,20,0,13.6,1.3,4.0,.329,0.9,3.0,.283,0.5,1.0,.474,.437,0.3,0.3,1.000,0.2,0.9,1.1,1.2,0.7,0.2,0.8,0.7,3.7,,2025
462,Patty Mills,36,UTA,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,,2025
463,Patty Mills,36,LAC,PG,3,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.3,0.0,,2025
464,Steven Adams,31,HOU,C,38,2,12.6,1.4,2.7,.529,0.0,0.0,,1.4,2.7,.529,.529,0.8,1.7,.446,2.8,2.6,5.3,1.1,0.3,0.4,0.9,1.0,3.7,,2025
465,Devin Carter,22,SAC,PG,16,0,9.9,1.2,3.8,.311,0.5,1.9,.258,0.7,1.9,.367,.377,0.8,1.1,.722,0.4,2.1,2.5,1.3,0.3,0.2,0.5,0.9,3.7,,2025
466,Damion Lee,32,PHO,SG,15,0,6.7,1.1,3.4,.333,0.3,1.7,.200,0.8,1.7,.462,.382,1.1,1.1,.941,0.1,0.7,0.9,0.5,0.3,0.0,0.4,0.3,3.7,,2025
467,Brandon Williams,25,DAL,PG,19,0,8.4,1.3,2.8,.453,0.5,1.2,.409,0.8,1.6,.484,.538,0.7,0.9,.765,0.1,0.7,0.8,1.2,0.3,0.1,0.7,0.6,3.7,,2025
468,Jevon Carter,29,CHI,PG,26,0,7.2,1.3,3.2,.402,0.8,2.2,.362,0.5,0.9,.500,.530,0.2,0.3,.750,0.1,0.9,1.0,1.0,0.3,0.0,0.3,0.3,3.6,,2025
469,Isaac Jones,24,SAC,PF,25,0,8.7,1.5,2.3,.655,0.0,0.2,.250,1.5,2.2,.685,.664,0.6,1.0,.538,0.6,1.0,1.5,0.3,0.1,0.3,0.5,1.0,3.6,,2025
470,Jabari Walker,22,POR,SF,39,1,10.5,1.4,3.0,.470,0.3,1.0,.282,1.1,2.0,.564,.517,0.5,0.8,.667,0.8,2.2,3.0,0.5,0.5,0.1,0.5,1.3,3.6,,2025
471,Jamal Cain,25,NOP,SF,21,0,12.3,1.2,3.0,.406,0.5,1.7,.278,0.8,1.3,.571,.484,0.6,0.9,.667,0.8,1.5,2.3,0.5,0.4,0.3,0.5,1.1,3.5,,2025
472,Jeff Dowtin,27,PHI,PG,24,0,11.2,1.4,3.5,.388,0.3,1.0,.240,1.1,2.5,.450,.424,0.5,0.7,.706,0.1,1.0,1.2,1.5,0.3,0.2,0.2,0.6,3.5,,2025
473,Oso Ighodaro,22,PHO,PF,41,2,14.8,1.5,2.6,.574,0.0,0.0,.000,1.5,2.6,.585,.574,0.5,0.9,.528,0.8,2.4,3.2,1.0,0.4,0.4,0.6,1.5,3.5,,2025
474,DeAndre Jordan,36,DEN,C,40,2,11.9,1.6,2.5,.653,0.0,0.0,,1.6,2.5,.653,.653,0.3,0.8,.419,1.4,3.3,4.7,0.9,0.3,0.5,0.7,1.3,3.5,,2025
475,Karlo Matković,23,NOP,PF,17,2,14.0,1.4,2.8,.489,0.3,0.8,.357,1.1,1.9,.545,.543,0.5,0.5,1.000,1.3,2.3,3.6,0.8,0.6,1.2,0.9,2.0,3.5,,2025
476,Dario Šarić,30,DEN,C,14,4,14.2,1.3,3.9,.333,0.4,1.7,.250,0.9,2.1,.400,.389,0.5,0.7,.700,1.0,2.5,3.5,1.6,0.5,0.1,1.0,1.3,3.5,,2025
477,Reed Sheppard,20,HOU,PG,40,0,11.6,1.3,4.1,.311,0.7,2.5,.273,0.6,1.6,.369,.393,0.2,0.3,.900,0.4,1.0,1.4,1.1,0.6,0.4,0.6,0.9,3.5,,2025
478,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,,2025
479,Collin Gillespie,25,PHO,PG,8,0,5.5,1.3,2.3,.556,0.4,0.8,.500,0.9,1.5,.583,.639,0.5,0.6,.800,0.4,0.5,0.9,0.9,0.3,0.3,0.3,0.5,3.4,,2025
480,Doug McDermott,33,SAC,SF,31,3,8.4,1.2,2.7,.424,1.0,2.3,.431,0.2,0.4,.385,.606,0.1,0.2,.600,0.1,0.5,0.5,0.1,0.1,0.0,0.2,0.9,3.4,,2025
481,Nicolas Batum,36,LAC,PF,52,1,17.4,1.1,2.9,.384,0.9,2.4,.376,0.2,0.5,.423,.540,0.2,0.3,.786,0.7,2.2,2.9,1.3,0.6,0.4,0.4,1.5,3.3,,2025
482,Luka Garza,26,MIN,C,23,0,5.6,1.3,2.9,.463,0.2,1.0,.227,1.1,2.0,.578,.500,0.4,0.6,.643,0.9,0.7,1.7,0.2,0.1,0.0,0.3,0.8,3.3,,2025
483,Gary Harris,30,ORL,SG,27,2,15.9,1.2,3.1,.386,0.8,2.4,.338,0.4,0.7,.556,.518,0.1,0.3,.500,0.5,0.7,1.2,0.6,0.6,0.3,0.4,0.9,3.3,,2025
484,Jalen Pickett,25,DEN,SG,25,0,11.3,1.3,3.0,.434,0.6,1.6,.385,0.7,1.5,.486,.533,0.1,0.1,1.000,0.2,1.0,1.2,1.9,0.3,0.1,0.4,0.5,3.3,,2025
